GENERALIZED BORN:,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,
131,2567.89,5723.53,7666.41,699.88,400.64,-381.25,-5432.77,-45526.96,2487.43,32080.33,-9535.32,248.88,285.12,-9286.44,-9001.31,,,
141,2540.77,5742.81,7630.03,701.18,384.22,-362.05,-5477.01,-45644.49,2447.11,32274.57,-9593.69,250.25,237.15,-9343.44,-9106.29,,,
151,2594.62,5690.64,7650.04,683.07,385.96,-375.81,-5421.9,-45623.65,2488.31,32090.23,-9445.96,251.68,161.5,-9194.28,-9032.78,,,
161,2564.22,5744.42,7656.12,695.55,371.94,-383.84,-5407.66,-45650.59,2475.3,32081.01,-9432.35,248.96,146.46,-9183.39,-9036.93,,,
171,2516,5764.18,7749.83,696.41,383.49,-384.56,-5454.32,-45683.9,2446.01,32169.77,-9411.1,247.02,202.92,-9164.08,-8961.16,,,
181,2467.34,5655.12,7693.73,684.37,384.33,-351.08,-5372.7,-45770.25,2526.88,32159.6,-9393.15,250.93,77.34,-9142.23,-9064.89,,,
191,2519.43,5711.35,7693.03,703.77,374.59,-399.04,-5479.89,-45556.04,2488.59,32236.64,-9531.41,246.11,292.42,-9285.3,-8992.88,,,
201,2503.46,5657.01,7703.46,714.86,379.88,-364.08,-5440.05,-45681.44,2521.51,32194.38,-9446.86,250.78,188.99,-9196.08,-9007.09,,,
211,2567.53,5701.55,7685.19,707.74,384.74,-353.2,-5451.28,-45539.68,2450.06,32101.54,-9544.46,248.61,254.2,-9295.84,-9041.65,,,
221,2558.98,5722.12,7690.71,695.66,374.13,-388.12,-5480.28,-45772.87,2512.79,32198.69,-9351.49,246.15,111.8,-9105.34,-8993.54,,,
231,2538.05,5803.7,7675.45,718.4,390.13,-373.59,-5423.9,-45657.19,2453.79,32201.17,-9525.45,251.95,326.01,-9273.5,-8947.49,,,
241,2587.45,5699.24,7709.24,705.29,377.36,-370.21,-5405.42,-45718.02,2511.68,32262.76,-9531.39,253.58,359.36,-9277.81,-8918.44,,,
251,2442.21,5705.5,7678.35,693.47,385.08,-366.96,-5412.37,-45593.12,2508.03,32169.79,-9560.23,254.56,209.99,-9305.67,-9095.68,,,
261,2511.8,5684.17,7677.56,717.03,396.72,-361.63,-5459.23,-45706.08,2485.04,32218.58,-9516.5,252.36,163.95,-9264.14,-9100.19,,,
271,2576.88,5719.93,7670.77,697.19,366.58,-386.72,-5475.92,-45732.58,2448.85,32283.46,-9458.15,253.01,168.46,-9205.14,-9036.68,,,
281,2527.21,5675.11,7668,702.62,370.93,-364.39,-5455.87,-45701.83,2462.29,32209.56,-9488.18,251.27,93.63,-9236.92,-9143.29,,,
291,2565.82,5690.39,7712.85,695.72,404.17,-377.99,-5441.86,-45716.1,2471.47,32223.72,-9573.81,252.68,228.2,-9321.13,-9092.93,,,
301,2518.99,5697.91,7650.46,701.64,378.54,-366.98,-5431.25,-45736.93,2455.36,32261.89,-9515.17,252.84,129.64,-9262.33,-9132.69,,,
311,2597.46,5558.55,7722.7,684.98,417.71,-408.93,-5483.64,-45553.14,2448.03,32131.32,-9528.6,250.65,115.02,-9277.95,-9162.93,,,
321,2522.38,5738.2,7713.48,694.78,397.11,-372.13,-5482.72,-45599.56,2494.78,32283.76,-9557.55,252.29,390.07,-9305.26,-8915.19,,,
331,2589.6,5787.72,7626.37,706.93,385.86,-376.86,-5369.59,-45843.39,2451.93,32283.73,-9433.34,252.78,242.29,-9180.56,-8938.27,,,
341,2502.55,5663.3,7689.49,677.93,382.94,-370.1,-5457.41,-45539.78,2459.59,32133.65,-9560.98,251.67,142.16,-9309.31,-9167.15,,,
351,2578.44,5667.3,7675.69,684.58,380.67,-378.95,-5444.77,-45613.76,2433.61,32304.11,-9594.96,253.62,286.93,-9341.34,-9054.41,,,
361,2505.41,5670.48,7679.89,671.72,394.37,-388.56,-5525.72,-45551.64,2481.57,32222.22,-9603.88,252.05,159.75,-9351.83,-9192.08,,,
371,2538,5621.46,7644.48,691.89,370.02,-372.56,-5443.44,-45771.98,2461.04,32315.75,-9528.18,255.52,54.65,-9272.66,-9218.01,,,
381,2516.85,5730.99,7646.45,701.77,389.54,-375.22,-5415.21,-45599.71,2515.6,32315.99,-9657.66,254.56,427.06,-9403.1,-8976.04,,,
391,2516.19,5673.7,7694.06,682.5,365.61,-383.15,-5413.01,-45697.94,2483.26,32281.12,-9641.89,256.7,202.33,-9385.19,-9182.86,,,
401,2556.2,5691,7748.35,684.71,402.98,-368.82,-5410.73,-45631.81,2488.18,32318.09,-9638.11,251.13,478.15,-9386.98,-8908.83,,,
411,2562.92,5696.76,7675.09,676.67,390.86,-387.18,-5492.17,-45673.47,2465.38,32353.27,-9581.98,252.01,268.13,-9329.97,-9061.84,,,
421,2454.44,5718.77,7723.83,709.87,385.81,-376.24,-5430.31,-45519.18,2512.63,32364.42,-9773.4,254.01,544.03,-9519.4,-8975.36,,,
431,2557.99,5653.09,7692.13,704.59,379.77,-391.14,-5491,-45474.34,2495.64,32253.18,-9700.09,252.78,379.92,-9447.31,-9067.39,,,
