GENERALIZED BORN:,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,
2721,975.36,2239.77,2893.39,283.42,146.73,-127.51,-2085.35,-17254.44,855.06,10762.88,-4548.66,116.51,-1310.69,-4432.15,-5742.84,,,
2731,987.83,2355.5,2883.43,287.91,167.04,-141.76,-2080.82,-17343.56,817.34,10781.34,-4512.08,117.12,-1285.76,-4394.95,-5680.72,,,
2741,980.62,2364.99,2880.01,286.7,162.73,-125.65,-2051.53,-17328.34,835.04,10716.77,-4488.48,116.62,-1278.67,-4371.86,-5650.53,,,
2751,952.41,2378.9,2886.9,277.88,156.88,-164.36,-2057.34,-17363.75,843.39,10759.54,-4506.35,117.05,-1329.55,-4389.3,-5718.84,,,
2761,943.56,2331.44,2871.87,288.8,155.68,-143.45,-2065.25,-17357.85,862.72,10744.66,-4433.94,115.76,-1367.82,-4318.17,-5685.99,,,
2771,1007.5,2239.09,2891.69,283.75,144.37,-139.12,-2026.28,-17235.91,836.54,10709.42,-4550.93,119.15,-1288.96,-4431.78,-5720.74,,,
2781,973.06,2281.12,2878.71,289.22,161.22,-128.11,-2048.22,-17303.82,837,10727.87,-4507.51,113.92,-1331.94,-4393.59,-5725.53,,,
2791,988.57,2308.4,2893.63,282.94,152.76,-136.33,-2058.61,-17150.96,876.59,10733.96,-4646.84,118.39,-1109.05,-4528.45,-5637.51,,,
2801,1031.68,2352.1,2908.17,280.6,163.31,-144.51,-2062.18,-17217.48,830.07,10712.32,-4597.48,118.55,-1145.92,-4478.93,-5624.84,,,
2811,964.21,2286.94,2896.13,285.92,157.48,-149.86,-2043.06,-17368.45,845.11,10786.72,-4480.6,118.45,-1338.88,-4362.15,-5701.02,,,
2821,1016.13,2297.35,2880.72,298.2,149.31,-140.19,-2039.36,-17307.27,874.59,10765.35,-4518.64,116.81,-1205.17,-4401.83,-5607.01,,,
2831,986.65,2313.24,2883.14,290.74,136.73,-139.77,-2047.86,-17187.2,845.25,10829.68,-4682.98,120.34,-1089.42,-4562.64,-5652.06,,,
2841,1004.83,2293.27,2936.12,285.11,150.51,-129.64,-2055.57,-17255.79,846.79,10805.93,-4572.14,118.33,-1118.44,-4453.81,-5572.25,,,
2851,995.69,2301.34,2923.48,289.12,133.37,-146.59,-2048.79,-17198.57,848.15,10765.17,-4587.87,118.15,-1137.63,-4469.72,-5607.35,,,
2861,983.99,2271.41,2911.99,280.89,139.48,-145.28,-2094.38,-17000.98,836.56,10716.28,-4748.48,117.09,-1100.04,-4631.39,-5731.42,,,
2871,1026.22,2376.7,2902.32,302.8,146.15,-154.32,-2096.51,-17067.27,848.96,10724.98,-4684.73,118.48,-989.97,-4566.25,-5556.22,,,
2881,976.95,2358.64,2896.69,297.33,150.54,-130.33,-2070.61,-17270.24,846.98,10769.59,-4569.6,120.64,-1174.46,-4448.96,-5623.42,,,
2891,935,2315.28,2874.08,294.45,146.35,-156.04,-2066.74,-17315.76,872.62,10898.44,-4548.31,116.33,-1202.31,-4431.97,-5634.28,,,
2901,978.73,2312.05,2888.23,287.64,153.54,-121.19,-2053.63,-17270.56,856.28,10806.2,-4575.21,119.19,-1162.71,-4456.02,-5618.73,,,
2911,972.99,2301.54,2878.6,282.97,155.86,-139.35,-2074.35,-17202.69,842.18,10787.24,-4602.42,119.37,-1195.01,-4483.06,-5678.06,,,
2921,1003.47,2322.76,2856.52,276.74,164.29,-132.28,-2087.89,-17186.99,859.66,10768.47,-4621.38,118.07,-1155.26,-4503.31,-5658.57,,,
2931,972.91,2333.11,2879.34,274.13,159.27,-136.27,-2046.03,-17354.73,867.73,10715.8,-4501.66,119.48,-1334.73,-4382.18,-5716.91,,,
2941,956.43,2307.8,2892.13,272.82,131.22,-138.13,-2096.63,-17598.81,875.48,10812.16,-4285.62,113.17,-1585.54,-4172.45,-5757.99,,,
2951,1013.28,2323.79,2906.89,288.52,161.62,-158.88,-2072.08,-17210.41,850.32,10789.36,-4613.22,119.25,-1107.59,-4493.96,-5601.56,,,
2961,1013.9,2266.53,2929.69,276.4,146.82,-172.97,-2052.93,-17287.48,854.21,10766.6,-4556.56,120.27,-1259.24,-4436.3,-5695.53,,,
2971,1014.68,2316.79,2883.83,281.72,150.05,-133.94,-2082.06,-17323.42,856.26,10760.94,-4488.33,115.12,-1275.14,-4373.21,-5648.35,,,
2981,956.87,2279.61,2918.5,291.47,165.93,-158.9,-2080.99,-17251.23,842.92,10650.37,-4518.62,117.59,-1385.43,-4401.03,-5786.46,,,
2991,993.39,2314.61,2906.04,289.42,146.9,-116.66,-2073.06,-17356.94,829.81,10716.19,-4434.75,115.31,-1350.33,-4319.44,-5669.77,,,
3001,1016.59,2293.66,2917.25,281.37,157.9,-133.52,-2085.41,-17311.37,854.14,10781.51,-4485.87,115.59,-1227.88,-4370.28,-5598.16,,,
3011,1034.27,2286.8,2913.31,292.66,148.21,-125.92,-2065.64,-17220.7,863.87,10652.6,-4543.28,116.77,-1220.55,-4426.51,-5647.06,,,
3021,1020.83,2309.13,2927.56,279.91,148.34,-146.34,-2075.15,-17056.53,837.86,10651.4,-4670.26,115.61,-1102.99,-4554.65,-5657.64,,,
3031,1001.28,2333.24,2931.24,280.31,161.57,-147.48,-2053.44,-17296.76,842.95,10816.03,-4607.34,117.19,-1131.05,-4490.16,-5621.21,,,
3041,952.88,2314.74,2927.73,279.67,162.96,-131.47,-2068.85,-17169.34,875.67,10702.28,-4628.28,118.2,-1153.73,-4510.08,-5663.81,,,
3051,1001.87,2283.61,2886.87,277.65,154.53,-138.34,-2066.89,-17131.29,888.38,10674.37,-4618.89,114.71,-1169.24,-4504.17,-5673.42,,,
3061,1026.04,2352.22,2904.79,281.88,148.21,-146.27,-2052.3,-17119.67,827.1,10693.37,-4630.28,118.13,-1084.6,-4512.15,-5596.75,,,
3071,973.18,2339.14,2890,286.85,164.3,-139.21,-2043.15,-17371.96,854.23,10711.24,-4429.98,118.85,-1335.38,-4311.13,-5646.51,,,
3081,968.9,2397.05,2878.05,286.05,139.22,-129.97,-2041.51,-17346.17,852.26,10747.36,-4472.95,118.81,-1248.76,-4354.14,-5602.9,,,
3091,980.63,2298.17,2886.33,294.46,148.32,-139.83,-2078.03,-17303.45,862.11,10740.73,-4480.15,116.23,-1310.55,-4363.92,-5674.47,,,
3101,998.05,2352.63,2891.12,281.34,157.17,-143.78,-2079.24,-17400.93,847.83,10692.69,-4375.3,114.44,-1403.12,-4260.87,-5663.99,,,
3111,969.74,2362.34,2891.51,289.82,169.63,-161.59,-2020.34,-17385.85,854.15,10764.87,-4486.66,115.38,-1265.71,-4371.28,-5636.99,,,
3121,956.11,2306.55,2926.5,283.31,152.47,-146.87,-2085.24,-17236.87,849.95,10704.8,-4523.69,117.52,-1289.29,-4406.17,-5695.46,,,
3131,984.83,2312.75,2908.52,286.7,158.66,-148.21,-2089.89,-17407.06,861.68,10823.96,-4463.26,116.81,-1308.07,-4346.45,-5654.52,,,
3141,984.98,2307.64,2869.52,279.89,160.3,-154.21,-2037.3,-17328.07,856.5,10778.28,-4569.3,119.33,-1282.47,-4449.97,-5732.44,,,
3151,1035.42,2314.17,2868.03,288.23,179.01,-118.65,-2026.46,-17345.57,845.76,10743.27,-4506.3,119.41,-1216.8,-4386.89,-5603.69,,,
3161,976.59,2335.06,2891.05,285.85,153.85,-147.62,-2085.17,-17267.67,854.75,10740.53,-4548.7,117.23,-1262.76,-4431.47,-5694.24,,,
